None	Í hvaða myndasögu er Kalli Bjarna	Smáfólkinu	Í hvaða myndasögu er Kalli Bjarna
None	Í hvaða spili verður alltaf einn að vera blindur	Bridge	Í hvaða spili verður alltaf einn að vera blindur
None	Í hvaða sýslu er Akureyri	Eyjafjarðarsýslu	Í hvaða sýslu er Akureyri
None	Í hvaða sýslu er Kelduhverfi	Norður-Þingeyjarsýslu	Í hvaða sýslu er Kelduhverfi
None	Inn úr hvaða firði liggur Hvammsfjörður	Breiðafirði	Inn úr hvaða firði liggur Hvammsfjörður
None	Með hvaða liði hóf Hermann Hreiðarsson atvinnumannsferil sinn	Crystal Palace	Með hvaða liði hóf Hermann Hreiðarsson atvinnumannsferil sinn
None	Pési heitir annað gæludýr Svals og Vals í samnefndum bókum, hvað heitir hitt	Gormur	Pési heitir annað gæludýr Svals og Vals í samnefndum bókum hvað heitir hitt
None	Undir hvaða nafni er Danny Michael DeVito þekktari	Danny DeVito	Undir hvaða nafni er Danny Michael DeVito þekktari
None	Undir hvaða nafni er Nicholas Kim Coppola þekktari	Nicholas Cage	Undir hvaða nafni er Nicholas Kim Coppola þekktari
None	Undir hvaða nafni er Paul David Hewson þekktari	Bono	Undir hvaða nafni er Paul David Hewson þekktari
None	Undir hvaða nafni er Shirley MacLean Beaty þekktari	Shirley MacLaine	Undir hvaða nafni er Shirley MacLean Beaty þekktari
None	Undir hvaða nafni er Sofia Villani Scicolone þekktari	Sophia Loren	Undir hvaða nafni er Sofia Villani Scicolone þekktari
None	Undir hvaða nafni var Aðalsteinn Kristmundsson betur þekktur	Steinn Steinarr	Undir hvaða nafni var Aðalsteinn Kristmundsson betur þekktur
None	Undir hvaða nafni var Walter Matthow þekktari	Walter Matthau	Undir hvaða nafni var Walter Matthow þekktari
None	Úr hverju er smjör búið til	Rjóma	Úr hverju er smjör búið til
None	Við hvaða skóla nam Sæmundur Fróði að því er sagt er	Svartaskóla	Við hvaða skóla nam Sæmundur Fróði að því er sagt er
None	Það kostar álíka klára vínið og kranablávatnið okkur hjá er dæmi um	Ýkjur	 Það kostar álíka klára vínið og kranablávatnið okkur hjá er dæmi um
None	10. janúar árið 1984 var diplómatísku sambandi er komið á milli Bandaríkjanna og hvaða lands	Vatíkansins	tíunda janúar árið nítján hundruð áttatíu og fjögur var diplómatísku sambandi er komið á milli Bandaríkjanna og hvaða lands
None	10. maí 1940 réðust Þjóðverjar á þrjú lönd. Belgíu, Lúxemborg og	Holland	tíunda maí nítján hundruð og fjörutíu réðust Þjóðverjar á þrjú lönd 
None	12. apríl 1945 lést einn af leiðtogum styrjaldarríkjanna. Hver var það	Franklin D. Roosevelt	tólfta apríl nítján hundruð fjörutíu og fimm lést einn af leiðtogum styrjaldarríkjanna 
None	Fyrir hvað stendur skammstöfunin SSH	Samtök sveitarfélaga á höfuðborgarsvæðinu	Fyrir hvað stendur skammstöfunin S S H
None	Hvaða land byrjar á B og tilheyrir Austur-Evrópu	Búlgaría	Hvaða land byrjar á B og tilheyrir Austur Evrópu
None	Hvað heitir sveitarfélagið sunnan Mýrdalsjökuls	Mýrdalshreppur	Hvað heitir sveitarfélagið sunnan Mýrdalsjökuls
None	Hvar er Antibes	Frakklandi	Hvar er Antibes
None	Hver er þjálfari Stjörnunnar í handknattleik kvenna	Atli Hilmarsson	Hver er þjálfari Stjörnunnar í handknattleik kvenna
None	Í hvaða sveitarfélagi er þéttbýlisstaðurinn Hafnir	Reykjanesbæ	Í hvaða sveitarfélagi er þéttbýlisstaðurinn Hafnir
None	Í hvaða tjörn er gosbrunnurinn í miðbæ Reykjavíkur	Suður-Tjörn	Í hvaða tjörn er gosbrunnurinn í miðbæ Reykjavíkur
None	Til hvaða sveitarfélags heyrir þéttbýlisstaðurinn Vallarheiði	Reykjanesbæ	Til hvaða sveitarfélags heyrir þéttbýlisstaðurinn Vallarheiði
None	Við hvaða á stendur Arlington kirkjugarðurinn	Potomac	Við hvaða á stendur Arlington kirkjugarðurinn
None	10. maí 1940 réðust Þjóðverjar á þrjú lönd. Belgíu, Holland og	Lúxemborg	tíunda maí nítján hundruð og fjörutíu réðust Þjóðverjar á þrjú lönd 
None	10. maí 1940 réðust Þjóðverjar á þrjú lönd. Holland, Lúxemborg og	Belgíu	tíunda maí nítján hundruð og fjörutíu réðust Þjóðverjar á þrjú lönd 
None	12. október árið 1905 var hvaða skóla settur í fyrsta sinn	Verzlunarskóli Íslands	tólfta október árið nítján hundruð og fimm var hvaða skóla settur í fyrsta sinn
None	Að hvaða Norðurlöndum á Rússland landamæri að	Finnlandi og Noregi	Að hvaða Norðurlöndum á Rússland landamæri að
None	Á eftir hvaða mánuði er Skerpla skv. gamla tímatalinu	Hörpu	Á eftir hvaða mánuði er Skerpla samkvæmt gamla tímatalinu
None	Ævisaga hvaða manns er bókin Töfrum líkast	Baldurs Brjánssonar	Ævisaga hvaða manns er bókin Töfrum líkast
None	Af hverjum keyptu Bandaríkjamenn Louisiana	Frökkum	Af hverjum keyptu Bandaríkjamenn Louisiana
None	Á hvaða eyju er Kaupmannahöfn	Sjálandi	Á hvaða eyju er Kaupmannahöfn
None	Á hvaða holti stendur Hallgrímskirkja	Skólavörðuholti	Á hvaða holti stendur Hallgrímskirkja
None	Á hvaða nesi er Fontur	Langanesi	Á hvaða nesi er Fontur
None	Á hvaða öld fann Pierre Fauchard upp tannréttingar	Átjándu	Á hvaða öld fann Pierre Fauchard upp tannréttingar
None	Á hvaða öld var viti reistur á Dalatanga	Nítjándu	Á hvaða öld var viti reistur á Dalatanga
None	Alsír var nýlenda hvaða lands	Frakklands	Alsír var nýlenda hvaða lands
None	Aurora borealis eru á norðurpólnum, Aurora _________ á suðurpólnum.	Australis	Aurora borealis eru á norðurpólnum Aurora á suðurpólnum 
None	Benjamin Franklin gerði ítarlegar hitastigsmælingar á Atlantshafi 1775 og gerði fyrsta kortið af því sem nú er þekkt sem....	Golfstraumurinn	Benjamin Franklin gerði ítarlegar hitastigsmælingar á Atlantshafi sautján hundruð sjötíu og fimm og gerði fyrsta kortið af því sem nú er þekkt s e m punktur punktur 
None	Börn hvaða listamanns heita, Dive, Dweezil, Ahmet Rodin og Moon Unit	Frank Zappa	Börn hvaða listamanns heita Dive Dweezil Ahmet Rodin og Moon Unit
None	Dauðaorð hvers voru eftirfarandi: "Hvílíkur listamaður deyr, þar sem ég er"	Neró	Dauðaorð hvers voru eftirfarandi 
None	Dr. Octopus er erkióvinur hvaða ofurhetju	Spider-Man	doktor Octopus er erkióvinur hvaða ofurhetju
None	Ef reikistjörnunum er raðað eftir stafrófsröð, hver þeirra er þá fyrst	Júpiter	Ef reikistjörnunum er raðað eftir stafrófsröð hver þeirra er þá fyrst
None	Eftir hvaða borg á Norðurlöndum nefndi Wellington hertogi hest sinn	Kaupmannahöfn	Eftir hvaða borg á Norðurlöndum nefndi Wellington hertogi hest sinn
None	Eftir hvaða íslenska skáld er leikritið "Fugl sem flaug á snúru"	Nínu Björk Árnadóttur	Eftir hvaða íslenska skáld er leikritið Fugl sem flaug á snúru 
None	Eftir hvaða sögu George Orwell hefur verið gerð teiknimynd	Animal Farm	Eftir hvaða sögu George Orwell hefur verið gerð teiknimynd
None	Eftir hverju eru Teddy Bears nefndir	Theodore Roosevelt	Eftir hverju eru Teddy Bears nefndir
None	Eftir hverjum er Grettisgata í Reykjavík nefnd	Gretti Ásmundarsyni	Eftir hverjum er Grettisgata í Reykjavík nefnd
None	Eftir hverjum heitir Barentshaf	Willem Barents	Eftir hverjum heitir Barentshaf
None	Eftir hvern er bókin Dýrabær (e. Animal Farm)	George Orwell	Eftir hvern er bókin Dýrabær e 
None	Eftir hvern er fyrsta móderníska ljóðið á íslensku	Jóhann Sigurjónsson	Eftir hvern er fyrsta móderníska ljóðið á íslensku
None	Eftir hvern er kvæðið "Hellisbúi"	Jóhannes úr Kötlum	Eftir hvern er kvæðið Hellisbúi 
None	Eftir hvern er leikritið "Beðið eftir Godot"	Samuel Beckett	Eftir hvern er leikritið Beðið eftir Godot 
None	Eftir hvern er ljóðið Gunnarshólmi	Jónas Hallgrímsson	Eftir hvern er ljóðið Gunnarshólmi
None	Eftir hvern er málverkið Guernica sem sýnir loftárás þjóðverja á spænskt þorp	Pablo Picasso	Eftir hvern er málverkið Guernica sem sýnir loftárás þjóðverja á spænskt þorp
None	Eftir hversu mörg stig færist uppgjöfin í borðtennis	Fimm	Eftir hversu mörg stig færist uppgjöfin í borðtennis
None	Ef þú stoppar í Staðarskála í hvaða firði ertu	Hrútafirði	Ef þú stoppar í Staðarskála í hvaða firði ertu
None	Fáni hvaða lands er með gula stjörnu á rauðum grunni	Víetnam	Fáni hvaða lands er með gula stjörnu á rauðum grunni
None	Frá hvaða bílaframleiðanda var hið vinsæla "rúgbrauð"	Volkswagen	Frá hvaða bílaframleiðanda var hið vinsæla rúgbrauð 
None	Frá hvaða borg lagði Titanic úr höfn í jómfrúrferð sinni	Southampton	Frá hvaða borg lagði Titanic úr höfn í jómfrúrferð sinni
None	Frá hvaða landi kemur íþróttamerkið Adidas	Þýskalandi	Frá hvaða landi kemur íþróttamerkið Adidas
None	Frá hvaða landi kom fyrsti framkvæmdarstjóri Sameinuðu þjóðanna	Noregi	Frá hvaða landi kom fyrsti framkvæmdarstjóri Sameinuðu þjóðanna
None	Frá hvaða menningarþjóð eru tölustafir okkar upprunnir	Aröbum	Frá hvaða menningarþjóð eru tölustafir okkar upprunnir
None	Fyrir hvaða flokk sat Emil Jónsson á Alþingi	Alþýðuflokkinn	Fyrir hvaða flokk sat Emil Jónsson á Alþingi
None	Fyrir hvaða flokk sat Júlíus Sólnes á Alþingi	Borgaraflokkinn	Fyrir hvaða flokk sat Júlíus Sólnes á Alþingi
None	Fyrir hvaða íþrótt fékk Maria Gorokhovskaya 7 ólympíugull	Fimleika	Fyrir hvaða íþrótt fékk Maria Gorokhovskaya sjö ólympíugull
None	Fyrir hvaða land vann Lennox Lewis Olympíugull í hnefaleikum	Kanada	Fyrir hvaða land vann Lennox Lewis Olympíugull í hnefaleikum
None	Fyrir hvað stendur skammstöfunin HRFÍ	Hundaræktarfélag Íslands	Fyrir hvað stendur skammstöfunin H R F Í
None	Fyrir hvað stendur W í nafni George W. Bush	Walker	Fyrir hvað stendur W í nafni George W Bush
None	Fyrsta járnbrautin fyrir farþegalestir í heiminum var lögð árið 1830 milli Liverpool og hvaða borgar	Manchester	Fyrsta járnbrautin fyrir farþegalestir í heiminum var lögð árið átján hundruð og þrjátíu milli Liverpool og hvaða borgar
None	Fyrsta ljóðabók hvaða skálds hét Rauður loginn brann	Steins Steinarrs	Fyrsta ljóðabók hvaða skálds hét Rauður loginn brann
None	Fyrsti atvinnurithöfundurinn á Íslandi var...	Torfhildur Hólm	Fyrsti atvinnurithöfundurinn á Íslandi var 
None	Guðrún Helgadóttir gaf út sína fyrstu bók árið 1974, hvað hét hún	Jón Oddur og Jón Bjarni	Guðrún Helgadóttir gaf út sína fyrstu bók árið nítján hundruð sjötíu og fjögur hvað hét hún
None	Himalajafjöll ná yfir fimm lönd, Indland, Kína, Bútan, Nepal og hvaða land	Pakistan	Himalajafjöll ná yfir fimm lönd Indland Kína Bútan Nepal og hvaða land
None	Hvaða á er næstlengst í heiminum	Amazonfljótið	Hvaða á er næstlengst í heiminum
None	Hvaða alþjóðasamtök stofnaði Henri Dunant	Rauða krossinn	Hvaða alþjóðasamtök stofnaði Henri Dunant
None	Hvaða ár dó Halldór Laxness	1998	Hvaða ár dó Halldór Laxness
None	Hvaða ár endurheimti Eistland sjálfstæði sitt	1991	Hvaða ár endurheimti Eistland sjálfstæði sitt
None	Hvaða á rennur í gegnum Vín og Búdapest	Dóná	Hvaða á rennur í gegnum Vín og Búdapest
None	Hvaða ár er listamaðurinn Jóhannes Sveinsson Kjarval fæddur	1885	Hvaða ár er listamaðurinn Jóhannes Sveinsson Kjarval fæddur
None	Hvaða ár er tennisleikkonan Lindsay Davenport fædd	1976	Hvaða ár er tennisleikkonan Lindsay Davenport fædd
None	Hvaða ár fæddist Charlie Chaplin	1889	Hvaða ár fæddist Charlie Chaplin
None	Hvaða ár fæddist David Beckham	1975	Hvaða ár fæddist David Beckham
None	Hvaða ár fæddist Davíð Oddsson	1948	Hvaða ár fæddist Davíð Oddsson
None	Hvaða ár fékk Azerbaijan sjálfstæði	1991	Hvaða ár fékk Azerbaijan sjálfstæði
None	Hvaða ár fékk Rússland sjálfstæði	1991	Hvaða ár fékk Rússland sjálfstæði
None	Hvaða ár fékk Serbía og Montenegró (fyrrum Júgóslavía ) sjálfstæði	1992	Hvaða ár fékk Serbía og Montenegró fyrrum Júgóslavía sjálfstæði
None	Hvaða ár fékk Slóvakía sjálfstæði	1993	Hvaða ár fékk Slóvakía sjálfstæði
None	Hvaða ár fékk Svíþjóð sjálfstæði	1523	Hvaða ár fékk Svíþjóð sjálfstæði
None	Hvaða ár féllu mannskæð snjóflóð á Súðavík og Flateyri	1995	Hvaða ár féllu mannskæð snjóflóð á Súðavík og Flateyri
None	Hvaða ár fengu Bosnía og Hersegóvína sjálfstæði	1992	Hvaða ár fengu Bosnía og Hersegóvína sjálfstæði
None	Hvaða ár fór Sir Edmund Hillary á suðurpólinn	1958	Hvaða ár fór Sir Edmund Hillary á suðurpólinn
None	Hvaða ár fórst flugvél við Munchen með liðsmenn Man.Utd.	1968	Hvaða ár fórst flugvél við Munchen með liðsmenn M a n punktur u n i t e d 
None	Hvaða ár fór Vínarfundurinn fram	1815	Hvaða ár fór Vínarfundurinn fram
None	Hvaða ár framdi söngvarinn Kurt Cobain sjálfsmorð	1996	Hvaða ár framdi söngvarinn Kurt Cobain sjálfsmorð
None	Hvaða ár gekk Ísland í NATO	1949	Hvaða ár gekk Ísland í N A T O
None	Hvaða ár hafa ólympíuleikarnir farið fram í Los Angeles	1932 og 1984	Hvaða ár hafa ólympíuleikarnir farið fram í Los Angeles
None	Hvaða ár hófu Bandaríkin þátttöku í Víetnam stríðinu	1964	Hvaða ár hófu Bandaríkin þátttöku í Víetnam stríðinu
None	Hvaða ár kleif Sir Edmund Hillary Everest fjall	1953	Hvaða ár kleif Sir Edmund Hillary Everest fjall
None	Hvaða ár kom Alþingi endurreist saman í Reykjavík	1845	Hvaða ár kom Alþingi endurreist saman í Reykjavík
None	Hvaða ár lauk einokunarverslun Dana á Íslandi	1787	Hvaða ár lauk einokunarverslun Dana á Íslandi
None	Hvaða ár safnaðist fólk saman á Snæfellsjökli til að bjóða geimverur velkomnar	1993	Hvaða ár safnaðist fólk saman á Snæfellsjökli til að bjóða geimverur velkomnar
None	Hvaða ár steig fyrsti maðurinn á tunglið	1969	Hvaða ár steig fyrsti maðurinn á tunglið
None	Hvaða ár tók Emmess ísgerðin til starfa	1960	Hvaða ár tók Emmess ísgerðin til starfa
None	Hvaða ár tók Fidel Castro við völdum á Kúbu	1959	Hvaða ár tók Fidel Castro við völdum á Kúbu
None	Hvaða ár var Berlínarmúrinn rifinn	1989	Hvaða ár var Berlínarmúrinn rifinn
None	Hvaða ár var bruninn mikli í London	1666	Hvaða ár var bruninn mikli í London
None	Hvaða ár var Eimskipafélag Íslands stofnað	1914	Hvaða ár var Eimskipafélag Íslands stofnað
None	Hvaða ár var Háskólinn á Akureyri stofnaður	1987	Hvaða ár var Háskólinn á Akureyri stofnaður
None	Hvaða ár var Kópavogsfundurinn	1662	Hvaða ár var Kópavogsfundurinn
None	Hvaða ár var kvennafrídagurinn svokallaður	1975	Hvaða ár var kvennafrídagurinn svokallaður
None	Hvaða ár var landhelgi Íslands færð út í 50 mílur	1972	Hvaða ár var landhelgi Íslands færð út í fimmtíu mílur
None	Hvaða ár var Martin Luther King myrtur	1968	Hvaða ár var Martin Luther King myrtur
None	Hvaða ár var Michael Jordan fyrst valinn MVP (most valuable player)	1988	Hvaða ár var Michael Jordan fyrst valinn M V P most valuable player 
None	Hvaða ár var Morgunblaðið stofnað	1913	Hvaða ár var Morgunblaðið stofnað
None	Hvaða ár var Perlan vígð	1991	Hvaða ár var Perlan vígð
None	Hvaða ár var ríkisútvarpið stofnað	1930	Hvaða ár var ríkisútvarpið stofnað
None	Hvaða ár var síðast eldgos á Heimaey	1973	Hvaða ár var síðast eldgos á Heimaey
None	Hvaða ár var Tony Blair kosinn formaður Verkamannaflokksins	1994	Hvaða ár var Tony Blair kosinn formaður Verkamannaflokksins
None	Hvaða ár voru Ermasundsgöngin vígð	1994	Hvaða ár voru Ermasundsgöngin vígð
None	Hvaða ár voru Kjarvalsstaðir opnaðir	1973	Hvaða ár voru Kjarvalsstaðir opnaðir
None	Hvaða ástsæli skemmtikraftur varð fimmtugur 9. des 1996	Hemmi Gunn	Hvaða ástsæli skemmtikraftur varð fimmtugur níunda desember nítján hundruð níutíu og sex
None	Hvaða bandalag var stofnað 14. maí árið 1955	Varsjárbandalagið	Hvaða bandalag var stofnað fjórtánda maí árið nítján hundruð fimmtíu og fimm
None	Hvaða bandaríkjaforseti var myrtur í leikhúsi	Abraham Lincoln	Hvaða bandaríkjaforseti var myrtur í leikhúsi
None	Hvaða bandarísku borg voru mafíósarnir Bugsy Siegel og Meyer Lansky þekktir fyrir að byggja upp	Las Vegas	Hvaða bandarísku borg voru mafíósarnir Bugsy Siegel og Meyer Lansky þekktir fyrir að byggja upp
None	Hvaða bók Halldórs Laxness fjallar um ferð Íslendinga til Utah	Paradísarheimt	Hvaða bók Halldórs Laxness fjallar um ferð Íslendinga til Utah
None	Hvaða bókmenntastefna kom á eftir Raunsæi	Nýrómantík	Hvaða bókmenntastefna kom á eftir Raunsæi
None	Hvaða bók um einstæðan blökkumann olli miklu írafári árið 1852	Kofi Tómasar frænda	Hvaða bók um einstæðan blökkumann olli miklu írafári árið átján hundruð fimmtíu og tvö
None	Hvaða boltaíþrótt er leikin á hestum	Póló	Hvaða boltaíþrótt er leikin á hestum
None	Hvaða borg er á u.þ.b. 58°N og 18°A	Stokkhólmur	Hvaða borg er á um það bil fimmtíu og átta gráður norður og átján gráður A
None	Hvaða borg er stundum kölluð "París Suður-Ameríku"	Buenos Aires	Hvaða borg er stundum kölluð París Suður Ameríku
None	Hvaða borg eyðilagðist í jarðskálfta 1906	San Francisco	Hvaða borg eyðilagðist í jarðskálfta nítján hundruð og sex
None	Hvaða brú var opnuð þegar lagningu hringvegarins lauk	Skeiðarárbrú	Hvaða brú var opnuð þegar lagningu hringvegarins lauk
None	Hvaða dýr er heilagur George sagður hafa barist við	Dreka	Hvaða dýr er heilagur George sagður hafa barist við
None	Hvaða einræðisherra fæddist sama ár og Charlie Chaplin	Adolf Hitler	Hvaða einræðisherra fæddist sama ár og Charlie Chaplin
None	Hvaða embættismaður flytur áramótaávarp á gamlársdag	Forsætisráðherra	Hvaða embættismaður flytur áramótaávarp á gamlársdag
None	Hvaða evrópuríki var endurreist sem konungsdæmi árið 1975	Spánn	Hvaða evrópuríki var endurreist sem konungsdæmi árið nítján hundruð sjötíu og fimm
None	Hvaða eyja í Vestmannaeyjaklasanum er syðst	Surtsey	Hvaða eyja í Vestmannaeyjaklasanum er syðst
None	Hvaða eyja skiptist í Heimaey og Vesturey	Viðey	Hvaða eyja skiptist í Heimaey og Vesturey
None	Hvaða fæðutegund innleiddi Marco Polo á Ítalíu eftir að hann komst í kynni við hana við hirð Kúblai Khan	Pasta	Hvaða fæðutegund innleiddi Marco Polo á Ítalíu eftir að hann komst í kynni við hana við hirð Kúblai Khan
None	Hvaða félag sigraði bæði í Símadeild karla og kvenna í knattspyrnu árið 2002	KR	Hvaða félag sigraði bæði í Símadeild karla og kvenna í knattspyrnu árið tvö þúsund og tvö
None	Hvaða ferja kemur reglulega við í Flatey á Breiðafirði í áætlunarferðum sínum	Baldur	Hvaða ferja kemur reglulega við í Flatey á Breiðafirði í áætlunarferðum sínum
None	Hvaða fiskur er sagður hafa orðið til úr hráka kölska	Marglytta	Hvaða fiskur er sagður hafa orðið til úr hráka kölska
None	Hvaða fjall er 8848 metrar	Mount Everest	Hvaða fjall er átta þúsund átta hundruð fjörutíu og átta metrar
None	Hvaða fjallgarður aðskilur Indlandsskaga frá Tíbesku hásléttunni	Himalajafjöll	Hvaða fjallgarður aðskilur Indlandsskaga frá Tíbesku hásléttunni
None	Hvaða flói er á milli Öxarfjarðar og Eyjafjarðar	Skjálfandi	Hvaða flói er á milli Öxarfjarðar og Eyjafjarðar
None	Hvaða fornborg hét Babel á Hebresku	Babýlon	Hvaða fornborg hét Babel á Hebresku
None	Hvaða fræga flugkona hvarf árið 1937 þegar hún reyndi að fljúga kringum jörðina	Amelia Earhart	Hvaða fræga flugkona hvarf árið nítján hundruð þrjátíu og sjö þegar hún reyndi að fljúga kringum jörðina
None	Hvaða fræga rán gerðist í Vestmannaeyjum 16. júlí 1627	Tyrkjaránið	Hvaða fræga rán gerðist í Vestmannaeyjum sextánda júlí sextán hundruð tuttugu og sjö
None	Hvaða frægi grínisti fæddist sama ár og Adolf Hitler	Charlie Chaplin	Hvaða frægi grínisti fæddist sama ár og Adolf Hitler
None	Hvaða frægi Íslenski bardagi var háður árið 1244	Flóabardagi	Hvaða frægi Íslenski bardagi var háður árið tólf hundruð fjörutíu og fjögur
None	Hvaða frægi múr í Evrópu var reistur árið 1961	Berlínarmúrinn	Hvaða frægi múr í Evrópu var reistur árið nítján hundruð sextíu og eitt
None	Hvaða frægi súrrealisti fæddist í Figueres, Catalonia árið 1904	Salvador Dali	Hvaða frægi súrrealisti fæddist í Figueres Catalonia árið nítján hundruð og fjögur
None	Hvaða frægu verðlaun fékk Martin Luther King (1964)	Friðarverðlaun Nóbels	Hvaða frægu verðlaun fékk Martin Luther King nítján hundruð sextíu og fjögur 
None	Hvaða fugl "vellir graut"	Spói	Hvaða fugl vellir graut 
None	Hvaða gerð af sundi vísar til fugla	Flugsund	Hvaða gerð af sundi vísar til fugla
None	Hvaða haf er fyrir suðaustan Ástralíu	Tasmanhaf	Hvaða haf er fyrir suðaustan Ástralíu
None	Hvaða haf umlykur Madeiraeyjar	Atlantshaf	Hvaða haf umlykur Madeiraeyjar
None	Hvaða heimsfrægu byggingu lét keisarinn Shah Jahan byggja til minningar um eiginkonu sína	Taj Mahal	Hvaða heimsfrægu byggingu lét keisarinn Shah Jahan byggja til minningar um eiginkonu sína
None	Hvaða hét það kaffihús í Reykjavík sem var kennt við Ara Magnússon sýslumann í Ísafjarðarsýslu og Strandasýslu	Ari í Ögri	Hvaða hét það kaffihús í Reykjavík sem var kennt við Ara Magnússon sýslumann í Ísafjarðarsýslu og Strandasýslu
None	Hvaða hjúkrunarfélag múhameðstrúarmanna svarar til Rauða krossins	Rauði hálfmáninn	Hvaða hjúkrunarfélag múhameðstrúarmanna svarar til Rauða krossins
None	Hvaða höfði á Suðurlandi var friðlýstur árið 1978	Ingólfshöfði	Hvaða höfði á Suðurlandi var friðlýstur árið nítján hundruð sjötíu og átta
None	Hvaða höfuðborg á norðurlöndum , var stofnuð árið 1550	Helsinki	Hvaða höfuðborg á norðurlöndum var stofnuð árið fimmtán hundruð og fimmtíu
None	Hvaða höfundur notaði skáldanafnið "Hulda"	Unnur Benediktsdóttir Bjarklind	Hvaða höfundur notaði skáldanafnið Hulda 
None	Hvaða höfundur orti ljóð sem hefst svo "Ég heilsa´ yður, öreiga-æska, með öreigans heróp á tungu".	Steinn Steinarr	Hvaða höfundur orti ljóð sem hefst svo Ég heilsa yður öreiga æska með öreigans heróp á tungu 
None	Hvaða höfundur skrifaði "Þóru" bækurnar	Ragnheiður Jónsdóttir	Hvaða höfundur skrifaði Þóru bækurnar
None	Hvaða hollenski knattspyrnumaður þjáist af sjúklegri flughræðslu	Dennis Bergkamp	Hvaða hollenski knattspyrnumaður þjáist af sjúklegri flughræðslu
None	Hvaða hópur gaf út bókina "Sannleikurinn um Ísland" árið 2004	Baggalútur	Hvaða hópur gaf út bókina Sannleikurinn um Ísland árið tvö þúsund og fjögur
None	Hvaða Íslendingur hefur oftast verið forsætisráðherra	Ólafur Thors	Hvaða Íslendingur hefur oftast verið forsætisráðherra
None	Hvaða íslenksu ferðaskrifstofur sameinuðust í sept. 1989	Úrval og Útsýn	Hvaða íslenksu ferðaskrifstofur sameinuðust í september nítján hundruð áttatíu og níu
None	Hvaða íþróttafélag hefur skammstöfunina KS	Knattspyrnufélag Siglufjarðar	Hvaða íþróttafélag hefur skammstöfunina K S
None	Hvaða íþróttavörumerki ber sama nafn og gríska sigurgyðjan	Nike	Hvaða íþróttavörumerki ber sama nafn og gríska sigurgyðjan
None	Hvaða kappakstursbraut hét áður fyrr Kurpfalzring	Hockenheim	Hvaða kappakstursbraut hét áður fyrr Kurpfalzring
None	Hvaða kaupstaður er í Þingeyjarsýslum	Húsavík	Hvaða kaupstaður er í Þingeyjarsýslum
None	Hvaða körfuknattleikslið var stofnað í Chicago árið 1927 af Abraham Sapperstein	Harlem Globetrotters	Hvaða körfuknattleikslið var stofnað í Chicago árið nítján hundruð tuttugu og sjö af Abraham Sapperstein
None	Hvaða kunni maður er faðir Guðnýjar Halldórsdóttur kvikmyndagerðarmanns	Halldór Laxness	Hvaða kunni maður er faðir Guðnýjar Halldórsdóttur kvikmyndagerðarmanns
None	Hvaða kvikmyndahús tók til starfa í Reykjavík í maí árið 1960	Laugarásbíó	Hvaða kvikmyndahús tók til starfa í Reykjavík í maí árið nítján hundruð og sextíu
None	Hvaða land byrjar á T og tilheyrir Austur-Evrópu	Tékkland	Hvaða land byrjar á T og tilheyrir Austur Evrópu
None	Hvaða land er kallað Þúsundvatnalandið	Finnland	Hvaða land er kallað Þúsundvatnalandið
None	Hvaða land er með landamæri að Níkaragva í norðri og Panama í suðri	Kosta Ríka	Hvaða land er með landamæri að Níkaragva í norðri og Panama í suðri
None	Hvaða land gekk í Evrópubandalagið 1. janúar árið 1981	Grikkland	Hvaða land gekk í Evrópubandalagið fyrsta janúar árið nítján hundruð áttatíu og eitt
None	Hvaða land í Afríku er næst Kanaríeyjum	Marokkó	Hvaða land í Afríku er næst Kanaríeyjum
None	Hvaða landi lýsti Austurríki-Ungverjaland stríði á hendur sem markaði upphaf fyrri heimstyrjaldarinnar	Serbíu	Hvaða landi lýsti Austurríki Ungverjaland stríði á hendur sem markaði upphaf fyrri heimstyrjaldarinnar
None	Hvaða land í Suður-Ameríku dregur nafn sitt af Feneyjum	Venezuela	Hvaða land í Suður Ameríku dregur nafn sitt af Feneyjum
None	Hvaða land í Suður-Ameríku nær lengst til austurs	Brasilía	Hvaða land í Suður Ameríku nær lengst til austurs
None	Hvaða landi tilheyra Falklandseyjar	Bretlandi	Hvaða landi tilheyra Falklandseyjar
None	Hvaða landi tilheyrir Síbería	Rússlandi	Hvaða landi tilheyrir Síbería
None	Hvaða landi tilheyrir Svalbarði	Noregi	Hvaða landi tilheyrir Svalbarði
None	Hvaða land lýsti Þýskaland stríði á hendur 1. ágúst 1914	Rússlandi	Hvaða land lýsti Þýskaland stríði á hendur fyrsta ágúst nítján hundruð og fjórtán
None	Hvaða land vann heimsmeistaratitilinn í fótbolta árið 1962	Brasilía	Hvaða land vann heimsmeistaratitilinn í fótbolta árið nítján hundruð sextíu og tvö
None	Hvaða land vann heimsmeistaratitilinn í fótbolta árið 1966	England	Hvaða land vann heimsmeistaratitilinn í fótbolta árið nítján hundruð sextíu og sex
None	Hvaða land vann heimsmeistaratitilinn í fótbolta árið 1978	Argentína	Hvaða land vann heimsmeistaratitilinn í fótbolta árið nítján hundruð sjötíu og átta
None	Hvaða land varð evrópumeistari í knattspyrnu 1992	Danmörk	Hvaða land varð evrópumeistari í knattspyrnu nítján hundruð níutíu og tvö
None	Hvaða leiðtogi átti hundinn "Blondie"	Adolf Hitler	Hvaða leiðtogi átti hundinn Blondie 
